"Series Description","90-Day AA Financial Commercial Paper Interest Rate","90-Day AA Nonfinancial Commercial Paper Interest Rate"
"Unit:","Percent","Percent"
"Multiplier:","1","1"
"Currency:","NA","NA"
"Unique Identifier: ","H15/H15/RIFSPPFAAD90_N.B","H15/H15/RIFSPPNAAD90_N.B"
"Time Period","RIFSPPFAAD90_N.B","RIFSPPNAAD90_N.B"
2018-01-01,ND,ND
2018-01-02,1.68,1.58
2018-01-03,1.63,1.57
2018-01-04,1.66,1.59
2018-01-05,1.66,1.58
2018-01-08,1.65,1.57
2018-01-09,1.65,1.58
2018-01-10,1.62,1.58
2018-01-11,1.68,1.57
